date,adjClose
2017-01-03,91.5199966430664
2017-01-04,92.63999938964844
2017-01-05,93.5999984741211
2017-01-06,93.44000244140625
2017-01-09,90.4800033569336
2017-01-10,88.55999755859375
2017-01-11,90.95999908447266
2017-01-12,92.31999969482422
2017-01-13,91.27999877929688
2017-01-17,91.44000244140625
2017-01-18,89.27999877929688
2017-01-19,89.36000061035156
2017-01-20,91.12000274658203
2017-01-23,90.55999755859375
2017-01-24,90.95999908447266
2017-01-25,90.4800033569336
2017-01-26,92.23999786376953
2017-01-27,91.19999694824219
2017-01-30,90.23999786376953
2017-01-31,90.55999755859375
2017-02-01,91.83999633789062
2017-02-02,92.08000183105469
2017-02-03,92.31999969482422
2017-02-06,91.04000091552734
2017-02-07,89.5199966430664
2017-02-08,89.83999633789062
2017-02-09,90.80000305175781
2017-02-10,92.0
2017-02-13,90.55999755859375
2017-02-14,91.04000091552734
2017-02-15,90.87999725341797
2017-02-16,91.27999877929688
2017-02-17,91.12000274658203
2017-02-21,92.31999969482422
2017-02-22,90.87999725341797
2017-02-23,92.23999786376953
2017-02-24,91.68000030517578
2017-02-27,91.76000213623047
2017-02-28,91.5999984741211
2017-03-01,91.19999694824219
2017-03-02,89.36000061035156
2017-03-03,90.31999969482422
2017-03-06,90.23999786376953
2017-03-07,90.16000366210938
2017-03-08,85.36000061035156
2017-03-09,84.23999786376953
2017-03-10,82.31999969482422
2017-03-13,82.23999786376953
2017-03-14,81.5199966430664
2017-03-15,83.04000091552734
2017-03-16,82.87999725341797
2017-03-17,82.63999938964844
2017-03-20,82.16000366210938
2017-03-21,80.87999725341797
2017-03-22,80.95999908447266
2017-03-23,80.08000183105469
2017-03-24,80.72000122070312
2017-03-27,80.31999969482422
2017-03-28,81.19999694824219
2017-03-29,82.95999908447266
2017-03-30,84.55999755859375
2017-03-31,85.12000274658203
2017-04-03,84.4000015258789
2017-04-04,85.68000030517578
2017-04-05,85.44000244140625
2017-04-06,86.87999725341797
2017-04-07,87.68000030517578
2017-04-10,89.12000274658203
2017-04-11,89.36000061035156
2017-04-12,88.87999725341797
2017-04-13,89.04000091552734
2017-04-17,88.4800033569336
2017-04-18,88.31999969482422
2017-04-19,84.95999908447266
2017-04-20,84.31999969482422
2017-04-21,82.55999755859375
2017-04-24,82.0
2017-04-25,82.87999725341797
2017-04-26,82.08000183105469
2017-04-27,81.91999816894531
2017-04-28,81.91999816894531
2017-05-01,81.19999694824219
2017-05-02,79.36000061035156
2017-05-03,79.44000244140625
2017-05-04,75.68000030517578
2017-05-05,77.27999877929688
2017-05-08,77.36000061035156
2017-05-09,76.55999755859375
2017-05-10,78.87999725341797
2017-05-11,79.5199966430664
2017-05-12,79.5999984741211
2017-05-15,81.36000061035156
2017-05-16,80.87999725341797
2017-05-17,81.5199966430664
2017-05-18,82.08000183105469
2017-05-19,83.83999633789062
2017-05-22,84.31999969482422
2017-05-23,85.12000274658203
2017-05-24,84.80000305175781
2017-05-25,80.31999969482422
2017-05-26,82.23999786376953
2017-05-30,81.91999816894531
2017-05-31,79.68000030517578
2017-06-01,79.27999877929688
2017-06-02,78.87999725341797
2017-06-05,78.4000015258789
2017-06-06,79.76000213623047
2017-06-07,75.68000030517578
2017-06-08,75.44000244140625
2017-06-09,75.91999816894531
2017-06-12,76.16000366210938
2017-06-13,76.80000305175781
2017-06-14,73.83999633789062
2017-06-15,73.44000244140625
2017-06-16,73.91999816894531
2017-06-19,72.95999908447266
2017-06-20,71.5999984741211
2017-06-21,69.68000030517578
2017-06-22,70.23999786376953
2017-06-23,70.87999725341797
2017-06-26,71.44000244140625
2017-06-27,72.80000305175781
2017-06-28,73.5999984741211
2017-06-29,73.68000030517578
2017-06-30,76.0
2017-07-03,76.95999908447266
2017-07-05,74.0
2017-07-06,74.4800033569336
2017-07-07,72.80000305175781
2017-07-10,73.04000091552734
2017-07-11,74.16000366210938
2017-07-12,74.63999938964844
2017-07-13,75.76000213623047
2017-07-14,76.72000122070312
2017-07-17,75.5999984741211
2017-07-18,76.31999969482422
2017-07-19,77.5199966430664
2017-07-20,76.87999725341797
2017-07-21,74.72000122070312
2017-07-24,76.0
2017-07-25,78.4800033569336
2017-07-26,79.68000030517578
2017-07-27,80.4800033569336
2017-07-28,81.36000061035156
2017-07-31,82.23999786376953
2017-08-01,80.72000122070312
2017-08-02,81.12000274658203
2017-08-03,80.16000366210938
2017-08-04,81.04000091552734
2017-08-07,80.80000305175781
2017-08-08,80.4800033569336
2017-08-09,81.19999694824219
2017-08-10,79.27999877929688
2017-08-11,79.91999816894531
2017-08-14,77.76000213623047
2017-08-15,78.0
2017-08-16,76.55999755859375
2017-08-17,76.95999908447266
2017-08-18,79.76000213623047
2017-08-21,77.68000030517578
2017-08-22,78.16000366210938
2017-08-23,79.04000091552734
2017-08-24,77.68000030517578
2017-08-25,78.0
2017-08-28,76.23999786376953
2017-08-29,75.68000030517578
2017-08-30,75.04000091552734
2017-08-31,77.04000091552734
2017-09-01,77.36000061035156
2017-09-05,79.36000061035156
2017-09-06,80.31999969482422
2017-09-07,80.23999786376953
2017-09-08,77.83999633789062
2017-09-11,78.55999755859375
2017-09-12,78.95999908447266
2017-09-13,80.55999755859375
2017-09-14,81.04000091552734
2017-09-15,81.5999984741211
2017-09-18,81.36000061035156
2017-09-19,80.87999725341797
2017-09-20,81.91999816894531
2017-09-21,82.0
2017-09-22,81.91999816894531
2017-09-25,84.4000015258789
2017-09-26,83.91999816894531
2017-09-27,84.16000366210938
2017-09-28,83.44000244140625
2017-09-29,83.44000244140625
2017-10-02,81.68000030517578
2017-10-03,81.44000244140625
2017-10-04,80.63999938964844
2017-10-05,82.0
2017-10-06,79.76000213623047
2017-10-09,80.0
2017-10-10,82.23999786376953
2017-10-11,82.87999725341797
2017-10-12,81.83999633789062
2017-10-13,82.95999908447266
2017-10-16,83.68000030517578
2017-10-17,83.91999816894531
2017-10-18,83.83999633789062
2017-10-19,82.80000305175781
2017-10-20,83.44000244140625
2017-10-23,83.36000061035156
2017-10-24,84.31999969482422
2017-10-25,83.83999633789062
2017-10-26,84.55999755859375
2017-10-27,86.72000122070312
2017-10-30,86.95999908447266
2017-10-31,87.44000244140625
2017-11-01,87.19999694824219
2017-11-02,87.91999816894531
2017-11-03,89.44000244140625
2017-11-06,92.08000183105469
2017-11-07,91.91999816894531
2017-11-08,91.27999877929688
2017-11-09,91.68000030517578
2017-11-10,91.36000061035156
2017-11-13,91.04000091552734
2017-11-14,89.04000091552734
2017-11-15,88.72000122070312
2017-11-16,88.55999755859375
2017-11-17,90.80000305175781
2017-11-20,90.23999786376953
2017-11-21,91.19999694824219
2017-11-22,92.80000305175781
2017-11-24,94.31999969482422
2017-11-27,92.72000122070312
2017-11-28,92.63999938964844
2017-11-29,91.76000213623047
2017-11-30,91.76000213623047
2017-12-01,93.36000061035156
2017-12-04,91.91999816894531
2017-12-05,92.31999969482422
2017-12-06,89.5999984741211
2017-12-07,90.63999938964844
2017-12-08,91.91999816894531
2017-12-11,92.80000305175781
2017-12-12,91.5199966430664
2017-12-13,90.63999938964844
2017-12-14,91.44000244140625
2017-12-15,91.68000030517578
2017-12-18,91.5199966430664
2017-12-19,92.08000183105469
2017-12-20,92.87999725341797
2017-12-21,93.12000274658203
2017-12-22,93.27999877929688
2017-12-26,95.5999984741211
2017-12-27,95.36000061035156
2017-12-28,95.76000213623047
2017-12-29,96.08000183105469
2018-01-02,96.55999755859375
2018-01-03,98.72000122070312
2018-01-04,98.95999908447266
2018-01-05,98.4800033569336
2018-01-08,99.04000091552734
2018-01-09,100.55999755859375
2018-01-10,101.44000244140625
2018-01-11,101.5999984741211
2018-01-12,102.95999908447266
2018-01-16,102.08000183105469
2018-01-17,102.23999786376953
2018-01-18,102.08000183105469
2018-01-19,101.76000213623047
2018-01-22,102.23999786376953
2018-01-23,103.76000213623047
2018-01-24,105.76000213623047
2018-01-25,104.4800033569336
2018-01-26,105.91999816894531
2018-01-29,104.87999725341797
2018-01-30,103.19999694824219
2018-01-31,103.83999633789062
2018-02-01,105.91999816894531
2018-02-02,104.31999969482422
2018-02-05,102.16000366210938
2018-02-06,101.5999984741211
